,Pelvis_X_m,Pelvis_X_sd,Pelvis_Y_m,Pelvis_Y_sd,Pelvis_Z_m,Pelvis_Z_sd,Hip_X_m,Hip_X_sd,Hip_Y_m,Hip_Y_sd,Hip_Z_m,Hip_Z_sd,Knee_Z_m,Knee_Z_sd,Ankle_Z_m,Ankle_Z_sd,Foot_Y_m,Foot_Y_sd,HipMoment_Z_m,HipMoment_Z_sd,KneeMoment_Z_m,KneeMoment_Z_sd,AnkleMoment_Z_m,AnkleMoment_Z_sd,SupportMoment_Z_m,SupportMoment_Z_sd
0,10.3816675,5.69592586105783,0.5512412860714286,1.5742043720383052,5.817516827380954,2.5719884154101362,30.735808333333342,6.9415396801493126,-0.39070269880952374,3.100566462217472,-2.944053948452381,4.893254282593918,0.9154342892857142,4.143282274901668,1.7549384940476196,2.9224153511964155,9.794771309523812,4.82280039696603,0.48002945238095246,0.14822706226234303,-0.2716758678571429,0.08943380266596278,0.005448946345238096,0.007769076170592546,0.21380253086904766,0.07918251040211172
2,10.298286785714287,5.681218039163937,0.8812646345238097,1.6711165240099657,6.105470511904762,2.504181160348147,30.60255714285714,7.016340294370788,0.07036988928571443,2.9930334823010165,-2.6783722261904765,4.828202055961436,3.455166139285715,4.2177309897720745,0.6146694785714283,2.97243080812661,9.50226142857143,4.641338992024624,0.4752814285714286,0.1446286061671357,-0.19582265000000004,0.08446127424112132,-0.030773957261904763,0.01576187289644958,0.24868482130952388,0.08730082307503029
4,10.205043452380952,5.649184331834076,1.4359643238095237,1.7082999332481807,6.120221857142856,2.368721433258594,30.13126904761905,7.125762319398196,0.8501310309523809,2.867672363722848,-2.0227370940476184,4.710368656382651,5.696044142857143,4.654197840133083,-2.538144603571428,3.015459259310407,9.150810904761904,4.494048240972146,0.41763423809523803,0.10756728242157963,-0.08369901095238094,0.07656139056705843,-0.0995804095238095,0.031316919267256445,0.2343548176190476,0.09771978551583983
6,10.054094095238097,5.669012792544605,2.212990465476191,1.7081210150051058,5.776469916666667,2.205756758615283,29.66420357142858,7.353789124831289,1.8607784404761907,2.785402966286293,-1.1061860678571431,4.639632163208351,8.256259988095238,5.419925896578248,-4.437491190476191,3.0337068606539437,8.436087714285716,4.434800588114348,0.45180779761904766,0.1307490324877723,0.022926623928571428,0.10834392367485945,-0.12522998011904765,0.0443130232827318,0.34950444142857146,0.16965245958433314
8,9.780459440476193,5.727368816176241,3.0816958761904765,1.7504230828453358,5.148902535714287,2.0292404621954976,29.37289761904762,7.634763365875922,3.0557669238095237,2.7567584340078564,-0.5214599246428572,4.754510367000638,11.650545773809526,6.077125562261909,-3.5968988369047628,3.0718141518693844,7.662276988095239,4.354557094717267,0.535190523809524,0.18790864686311337,0.19940705190476193,0.14385923720292756,-0.09729751392857144,0.0523750688923842,0.6373000617857144,0.2823093823014452
10,9.445952559523809,5.769429885583037,3.8897348928571427,1.8691819013683255,4.459783029761904,1.8416842812416037,28.661792857142864,7.839181441196303,4.380121595238096,2.802362982443358,-0.44355747619047653,4.920638553209033,14.408243404761905,6.44008877407233,-1.5694930250000003,3.096312035954618,7.186919122619047,4.274683725697303,0.6213513095238097,0.22621892486668943,0.3372070241666667,0.18663334691752642,-0.044562469404761905,0.05500841371717127,0.9139958642857143,0.3560051829158668
12,9.181421928571428,5.775088724841557,4.543897154761906,2.0075347884760806,3.943273392857143,1.6733213697447427,27.15303452380952,7.909857456468158,5.6032758535714295,2.9394600522814454,-0.5802992321428571,4.971274270445293,15.617298551583334,6.632348170947164,0.4555457758333335,3.1518573934263485,6.959777214285715,4.242065822119521,0.5700271309523809,0.22557804944371249,0.41605854428571426,0.21749498896464073,0.011561793702380951,0.058053597102664285,0.9976474689404763,0.3841770301268039
14,9.047732246428572,5.763279923198276,4.991438378571429,2.0766346309811516,3.703516190476191,1.5674861886431835,25.108192142857142,7.888455046265948,6.507080741666665,3.1009179509259206,-0.7878578535714285,4.923001869321816,15.566083404761903,6.777804984605506,2.1581602083333333,3.2179129362775374,6.883434380952381,4.231268035617776,0.4457082999999999,0.20501927785331614,0.4378698733690477,0.22872940719296206,0.067026675,0.06668730120029824,0.9506048483690477,0.3887517027559279
16,9.017018904761906,5.751855340459802,5.171363535714286,2.0322515714774867,3.687364369047619,1.520362615114619,22.9135630952381,7.881212346490272,7.010148155952382,3.1880572192826566,-1.1613149404761907,4.918114107992811,14.899951530952386,6.915005473948245,3.5635722738095246,3.2640382129501164,6.890463702380952,4.2249984086579735,0.343894136904762,0.19754451219407523,0.4140081871428572,0.22160143665122256,0.12392220273809526,0.08078008636210926,0.8818245267857145,0.3933480029941253
18,9.061930559523809,5.745556806168453,5.037045666666667,1.9102379622849242,3.7458323571428567,1.5016834440139388,20.767999047619046,7.925783981396339,7.140750678571428,3.160404471675603,-1.7340989285714286,4.948975669423413,14.016311678571428,7.0122312058726886,4.7400619285714285,3.2696528890950383,6.930678964285714,4.224682246780712,0.2734174201190476,0.1944505524142786,0.3608625123333334,0.2044218685432854,0.1832591325,0.0965057466176214,0.8175390649523809,0.38516405006526994
20,9.176793214285714,5.74271576497267,4.613774345238094,1.7721168567265833,3.7261511428571428,1.5174235176879682,18.69808761904762,7.952726550956171,7.000003178571427,3.0273355364134007,-2.411625047619048,4.8794079009498,13.023427214285713,6.99624666297973,5.730568302738095,3.2249185721744986,6.9778729464285725,4.23194303934766,0.21016800595238094,0.17948162250425195,0.2923495095238095,0.1831702871240745,0.24395369880952383,0.11002991310941561,0.7464712142857144,0.35460942634938447
22,9.32042588095238,5.731267992534965,3.9986366749999993,1.6416436291658227,3.528369678571429,1.5860708684943317,16.635390119047617,7.902941082719211,6.722695392857143,2.8311905105948627,-3.097344851190476,4.721527992295005,11.91516994404762,6.845940258384798,6.555956619047619,3.1388248908450334,7.038392434523809,4.245138526510862,0.14788633416666666,0.15924642220173985,0.21977471190476186,0.16215985443225114,0.30429014642857144,0.11896709735721275,0.6719511925,0.3163268234575984
24,9.41778563095238,5.697593797919669,3.2977686309523815,1.516931521112794,3.119176583333333,1.6882333055368133,14.488990357142855,7.7845670043161075,6.411188488095239,2.63904252829399,-3.7386279285714283,4.592903201388816,10.688474416666667,6.61125427585276,7.242810636904762,3.036708007513962,7.131231071428571,4.266032784593256,0.09328585663095239,0.1424648468600089,0.14941015833333335,0.1448132300321647,0.3637375595238095,0.12310193994207591,0.6064335744880951,0.28392300988736446
26,9.443429666666665,5.642359060935312,2.5883434226190474,1.3887648160241262,2.5293329695238094,1.7850315953872358,12.252174797619045,7.632751567037436,6.100630336904762,2.491641530489488,-4.282368059523809,4.568303747347453,9.386866008333332,6.346713245301175,7.846599285714285,2.9351349066628014,7.270196317857144,4.292768245452862,0.04704681035714288,0.13143972812621757,0.08457936289285715,0.1319901606031304,0.42389274999999993,0.12403980944292521,0.55551892325,0.258822301179019
28,9.443403285714286,5.578424108773255,1.9103991428571427,1.2577381271780776,1.8323163175,1.8455418716868401,10.013589408333335,7.491358120293632,5.775115178571428,2.39112869984097,-4.68965775,4.648301358568583,8.095517749999999,6.07746359440917,8.4376675,2.836553729063012,7.468929107142856,4.318482722603718,0.003422556904761904,0.12595301235974093,0.026657636904761903,0.1240702033074514,0.4875804761904761,0.12429176964745889,0.5176606699999999,0.23916710423708115
30,9.471431940476188,5.523590251055829,1.2875218095238095,1.1463943931160434,1.1019564214285715,1.8609791968991773,7.87046205952381,7.4008151250890375,5.427166023809524,2.331066595622236,-4.982815,4.766433038034201,6.9022719285714285,5.808067149000715,9.045173095238095,2.752702512531106,7.721363047619047,4.349996811199754,-0.03589751011904762,0.12054934077353385,-0.025778274285714293,0.11989025404860984,0.5579825119047619,0.12582671366113815,0.49630672749999993,0.2227091096254005
32,9.54672580952381,5.491270061345349,0.7421209369047619,1.07980364598298,0.37931171190476193,1.8500490311892162,5.863667130952381,7.368124599441048,5.075094392857143,2.294731526217895,-5.217716642857144,4.820671266259336,5.861451785714285,5.542471575573984,9.666578452380953,2.7026008401500694,7.993672591666668,4.399322043452032,-0.07085043192857142,0.11790628547067043,-0.07394064940476192,0.11863565258831092,0.6375328095238095,0.1299482676362796,0.49274172819047624,0.2110359155928734
34,9.670776904761903,5.478184441816774,0.29650144404761897,1.0609001781745404,-0.323009432142857,1.832282662563059,3.9995091190476195,7.367307015670427,4.751828569047619,2.2649967824733706,-5.425510678571428,4.793028869708532,5.002731464285714,5.294249993207575,10.314966547619045,2.6939766066158177,8.274362166666666,4.466204485518691,-0.10585408571428571,0.11828926134775906,-0.11842289523809525,0.1192189874516848,0.7280025119047618,0.1362558277604627,0.5037255309523808,0.20390075344870748
36,9.840937095238095,5.475960961434274,-0.030535340476190425,1.0812245585647628,-1.008697544047619,1.827983827104718,2.2683505226190475,7.373388570696409,4.493280775000001,2.2466378963902547,-5.603681476190477,4.727792837080025,4.3383904130952375,5.082993052942557,11.006534880952382,2.7146956304880367,8.587503166666666,4.537716925673364,-0.14687862583333333,0.12002913282435514,-0.15878301785714286,0.1207799418107,0.8304005238095236,0.14312986870879535,0.5247388801190477,0.19932401910626507
38,10.037429154761904,5.478730167626315,-0.2346481428571428,1.1278824114955766,-1.6847459880952382,1.8557175909450192,0.6270924345238089,7.370147232007713,4.313418979761905,2.2488518285218757,-5.765646051190476,4.6792496139323925,3.857537503571429,4.915734872672133,11.720927857142858,2.748860975897761,8.95136325,4.609085578044841,-0.1932156321428571,0.12782502202628013,-0.1956795976190476,0.12378792186306029,0.943643642857143,0.1493055318179146,0.5547484130952379,0.19902606218924157
40,10.22985975,5.481372490587137,-0.327165005952381,1.1871570373001115,-2.365663864285714,1.9313841164676593,-0.9704557619047618,7.34203000226991,4.202398105952382,2.276097065086313,-5.93540725,4.660362524507121,3.560732726190476,4.781432861378007,12.39367380952381,2.7925843011287492,9.352875,4.68067443972046,-0.25384865690476194,0.14205569087389788,-0.2253064333333333,0.12896129423790334,1.0634250119047617,0.15493477258406743,0.5842699216666666,0.20143739445338532
42,10.37890982142857,5.483770341733813,-0.33505762619047613,1.2463796733331112,-3.0700401464285716,2.0542283255279528,-2.5440313690476195,7.285285702188653,4.125518688095239,2.3301354413474877,-6.147990595238096,4.665876780499831,3.498376690476191,4.674368258496447,12.95527845238095,2.848146456886475,9.741655833333335,4.758482297378752,-0.33027574642857144,0.15801183160263027,-0.24160525833333332,0.1355957900385068,1.1825754166666667,0.16038100454504275,0.6106944119047619,0.20357789499216497
44,10.459360333333333,5.501572448062777,-0.3033675750000001,1.3050250809892971,-3.797786559523809,2.199924045999793,-4.059206297619047,7.231112023990574,4.02268313095238,2.417808322189846,-6.418581955952381,4.698547928030559,3.7704155476190473,4.605523346547292,13.338554047619047,2.9126562594923637,10.020921666666666,4.8601508233669035,-0.41477140833333337,0.17218944785122295,-0.23722944261904763,0.14160819006311962,1.2899553809523812,0.16446042331555585,0.6379545299999999,0.20757945436446118
46,10.482655476190477,5.547423669110801,-0.2838325329761905,1.3715632674625093,-4.5104267261904765,2.3267527110203456,-5.43380963095238,7.217065765477354,3.8252785357142858,2.5344074049914664,-6.719375011904762,4.737227971367567,4.482399727380953,4.58383168300912,13.467534285714288,2.9779396247548138,10.075671428571429,4.997112576413294,-0.49347322619047623,0.17937108173492897,-0.20810799999999996,0.14528850308913707,1.3705713452380952,0.16441856808687286,0.6689901190476191,0.2120190951073991
48,10.475026666666666,5.60824528768196,-0.32881466309523805,1.4580703610200973,-5.137103188095239,2.395310489960286,-6.599836099999999,7.244509243266762,3.4693385833333332,2.6648486614307694,-7.024550095238096,4.735464536542634,5.697266345238096,4.59999398014231,13.255274523809522,3.0500050163097105,9.837993297619047,5.155495879051542,-0.5542661428571429,0.17754801463723954,-0.15625652166666665,0.14511524737705916,1.4085652738095238,0.15791489479780704,0.6980426092857143,0.2116821487464756
50,10.437977976190476,5.649282615577157,-0.493792011904762,1.5665238572970912,-5.612513833333334,2.3809246644132043,-7.550726595238095,7.280328266849146,2.9045872773809527,2.7906006096232505,-7.368230130952381,4.694035713203159,7.427826369047618,4.655564553879955,12.58931357142857,3.1645716330429465,9.320364175,5.295801216340327,-0.5825532976190477,0.1685347073614309,-0.08960536404761904,0.13878823961961737,1.3890625833333334,0.1456932436137034,0.7169039216666666,0.20146441853460212
52,10.359532261904763,5.644913833285224,-0.8280780583333331,1.6585500087323028,-5.897545476190476,2.279558658230456,-8.277523464285714,7.3035886222059885,2.1100160476190473,2.887395580863462,-7.766653690476189,4.652179420578033,9.704695010714286,4.792781515718899,11.302109523809523,3.3727886868927133,8.603238511904763,5.382076150348307,-0.5671173690476191,0.15815653699247445,-0.019343841071428572,0.12716827412022588,1.293672892857143,0.135765155934328,0.7072116827380953,0.1841431802936735
54,10.257856190476192,5.615160559900814,-1.3653097666666667,1.7003572755135858,-5.940112845238095,2.1232668898682543,-8.646145172619049,7.342226324904851,1.1115541989285713,2.941248297045996,-8.09640633333333,4.613474742583768,12.67209642857143,5.073727075022123,9.114032773809523,3.7323892611112246,7.77728907142857,5.415556047639408,-0.5282643452380953,0.1400303043579465,0.04279759047619048,0.11168622466360509,1.0992524523809521,0.1415289757928506,0.6137856976190476,0.16602007508088415
56,10.11858738095238,5.619331600036374,-2.099123970238095,1.704834172577762,-5.687511273809524,1.9581975220798367,-8.43408107142857,7.448776430884883,-0.05004121071428576,2.9731889607036464,-8.22771744047619,4.5727205081623445,16.631723178571427,5.50478275266793,5.686838738095239,4.262399209737732,6.959052785714285,5.422066020212768,-0.4975984642857142,0.10900828281090771,0.08906757546428572,0.08787811274276759,0.8028267499999999,0.15810439817960395,0.39429586117857146,0.1567570014519388
58,9.885496904761904,5.66227038958098,-2.9389638154761903,1.7248472599140525,-5.177967714285714,1.7981551882619426,-7.431440297619048,7.607917091608435,-1.344885880952381,3.0207341982253273,-8.212090654761905,4.583389269586175,21.868165238095237,5.9896178957891175,0.8797383071428571,4.809282931779604,6.246300714285714,5.43949469800412,-0.4488353571428571,0.09659516907378819,0.10950120345238097,0.058634768054938106,0.4555177857142858,0.14972973157069855,0.1161836320238095,0.15002177636773745
60,9.581783422619049,5.701968736668801,-3.7571535952380954,1.7979780524750646,-4.559462044047619,1.6424577677999226,-5.511543273809525,7.759782427389351,-2.7107826190476185,3.0941199082609407,-8.07079525,4.681990581401256,28.33465773809524,6.358116865732145,-4.692417396428572,5.030144538576587,5.555157163095238,5.536109136430891,-0.3550789642857143,0.09384542138092475,0.08730542583333334,0.040376059342447555,0.1655019619047619,0.10171211294279807,-0.10227157654761902,0.11874826697729242
62,9.300268714285714,5.719173791677871,-4.455883809523809,1.8967364446066848,-4.035612833333333,1.5144034604605852,-2.7240572738095237,7.855973285493806,-3.9870922448809525,3.1418673563521717,-7.720792904761905,4.779607268037876,35.621767857142856,6.451068903430461,-9.395973821428571,4.934633202529632,4.990561785714286,5.785161224496894,-0.2575201476190476,0.09021590847461301,0.039765305535714286,0.028948078361420198,0.008335080595238095,0.046109761204798205,-0.20941976148809527,0.09357161918158621
64,9.113130059523812,5.717169028380828,-4.958942936904763,1.9580071546069235,-3.7464572738095234,1.4413304827330258,0.7363109999999997,7.8606412412751885,-4.957972470238096,3.136869108398969,-7.1790332857142864,4.780870825728601,43.10172738095238,6.196930981022886,-11.709071940476191,4.875404271428526,5.222601297619049,6.196289401018094,-0.2459576523809524,0.092319554571328,0.04308424917857143,0.031241809536425323,-0.03010284880952381,0.01355899910181376,-0.23297625201190478,0.0788725257015658
66,9.025116392857143,5.712797897400487,-5.185230488095239,1.9326581838351693,-3.6875627738095242,1.408651182636184,4.618485413095238,7.769341452758463,-5.438239428571428,3.092282452870875,-6.601725154761906,4.690787587032547,50.004015476190474,5.629994560425915,-11.314314523809523,5.146773092120595,6.703344976190475,6.73916530067033,-0.2673635952380952,0.08164068688311489,0.07782950285714285,0.03543003524180836,-0.028363529761904756,0.005810638204590042,-0.21789762214285716,0.05974347985059579
68,9.021217595238095,5.714823692888453,-5.0772643452380954,1.8385658191879215,-3.7338746785714285,1.3922029959802382,8.70040273809524,7.603954662999404,-5.361976702380952,3.0311916867920154,-6.100895869047618,4.577077222304863,55.61572976190475,4.89679219833411,-9.033382214285714,5.373372621262939,8.808381478571429,7.226489549299018,-0.21691329880952379,0.06233922589015556,0.08138827738095238,0.027614814355563205,-0.020304806785714287,0.004838504708879444,-0.1558298282142857,0.04814991933041967
70,9.099410595238094,5.718246229435765,-4.661866972619047,1.7218046759548402,-3.7253769404761905,1.4123327049054868,12.779023369047618,7.396499121485323,-4.825235726190475,2.9531017890393114,-5.617019297619048,4.500423141892095,59.550694047619054,4.215588802698778,-6.0665570238095246,5.200279832531755,10.571493607142855,7.467672437684496,-0.13089413333333336,0.04750238351565502,0.06021164761904763,0.022077936543689704,-0.014104782261904763,0.0031460617798418954,-0.08478726797619049,0.03679369208525307
72,9.223905928571428,5.707075440489221,-4.046257369047619,1.5960082578028663,-3.5418281892857144,1.501425096891646,16.62549011904762,7.172362821815015,-4.019751869047618,2.830436328108268,-5.047256065476191,4.476025771556264,61.73805357142857,3.773398694542461,-3.1003408571428572,4.779010281908708,11.641644642857143,7.464854475545142,-0.0693986069047619,0.03982755681114157,0.03812347479761905,0.018038195607468492,-0.0112863,0.0018992578287545284,-0.04256143210714285,0.030383530848006095
74,9.318360714285713,5.673354731209935,-3.3492317714285713,1.4613915007826814,-3.138795053571428,1.634840378238861,20.04132619047619,6.962263962322766,-3.147810144047619,2.6852041999371385,-4.399718952380952,4.51822772487103,62.23780357142858,3.695428940223723,-0.3473664285714285,4.326529304728011,12.197215357142857,7.323249653191039,-0.03866619857142857,0.03487764269047348,0.02198392488095238,0.014299835558720532,-0.010198804880952381,0.0016910398793618256,-0.026881078571428567,0.02857520519949996
76,9.346614714285714,5.619785026230444,-2.645616761904762,1.318234028025744,-2.5415173154761908,1.7626199477409081,22.95764523809524,6.783594731596054,-2.3434397357142855,2.573651178471209,-3.7267098333333335,4.599977610542599,61.14942380952382,3.972178889848224,2.0666817607142853,3.9399807574561883,12.541222999999999,7.15455371527038,-0.02099401960714286,0.031069866165818253,0.008541386226190476,0.01349517221129637,-0.010090306309523808,0.0018193961807863146,-0.022542939690476188,0.028444704571390554
78,9.345769238095237,5.556813817061457,-1.969052968690476,1.1776326800595702,-1.8203792083333334,1.8532487687941213,25.426984523809523,6.642366568424827,-1.6486783507142857,2.5277396174982045,-3.0399237928571425,4.650278685882221,58.602732142857135,4.489016610326041,4.040244776190475,3.5903246542024423,12.89262280952381,7.043594226013122,-0.006360565869047619,0.030937033297074607,-0.004378471083333333,0.014357897461536696,-0.01094134380952381,0.0018313223241363753,-0.02168038076190476,0.02917271870940193
80,9.37045794047619,5.500791573258895,-1.3409855047619048,1.0624873344360934,-1.0563586226190476,1.899739611174004,27.515832142857146,6.553528957696646,-1.063872575,2.536715886482106,-2.3401310952380947,4.658679776536832,54.736761904761906,5.135481980833403,5.537743154761905,3.2448083104644847,13.317676738095239,6.972290575309108,0.005959758794047619,0.028530986185773845,-0.01717050923809524,0.01597934458792543,-0.012284759404761904,0.0019642828513754228,-0.023495509848809524,0.025229064874184557
82,9.44333717857143,5.466646627398567,-0.7883401035714284,1.0003965669126154,-0.3015111341666667,1.916891415994614,29.230241666666664,6.533788656592301,-0.5967813535714285,2.5813485300774266,-1.678995182142857,4.683592233047655,49.677128571428575,5.812852168257628,6.520876869047619,2.8990772994824154,13.767168452380956,6.841598601654021,0.01662978682142857,0.026500476520323696,-0.029592490488095233,0.018096388250794203,-0.014220860357142854,0.002171591046454636,-0.02718356402380953,0.02006994961711013
84,9.568590166666667,5.458111590876369,-0.3361209142857143,1.0031015278092963,0.4305976464285715,1.9267786694635785,30.542848809523807,6.575778502047218,-0.26177614880952377,2.653726455655854,-1.1590470273809523,4.762225952690425,43.55064047619047,6.40470907091632,6.959679023809524,2.545919965664389,14.140613095238095,6.581805303215565,0.024531407976190477,0.03037408747364167,-0.04078272285714286,0.021347456846596797,-0.016537040476190475,0.0023462901896252036,-0.03278835535714286,0.02111233595394398
86,9.744900166666666,5.46645911792756,-0.0011316714285715243,1.0506181014466802,1.1424745119047617,1.9444485648084562,31.426921428571426,6.643289285052659,-0.0620619678571428,2.743442479622666,-0.8870243690476188,4.876281921166589,36.501379761904765,6.783756250969535,6.8339308095238085,2.21292915022407,14.31464753571429,6.211283037060327,0.033662570833333336,0.039821337779978275,-0.05312775273809523,0.0267166977638825,-0.018870584523809523,0.002733693813133059,-0.03833576642857143,0.024578356252070672
88,9.961986273809524,5.479263838277566,0.21314603178571426,1.1181788633514052,1.8369613928571429,1.9812227840320733,31.874599999999997,6.690785647550176,0.02147036071428584,2.8321943014574296,-0.913637142857143,4.974117497053172,28.736629999999998,6.832479559384701,6.123731071428572,1.9963597705080847,14.169561011904761,5.840156770416666,0.0552761219047619,0.05400538636648118,-0.07300837261904762,0.03312040209724875,-0.02047931107142857,0.003411582530352199,-0.03821156178571428,0.03192678251603302
90,10.187687357142856,5.486745694154471,0.3190598452380953,1.1931998018628185,2.522947705952381,2.042881483670518,31.901867857142854,6.6844640719542,0.01609769404761905,2.90987502157841,-1.2421429523809522,5.014033858761866,20.61312130952381,6.465757632127667,4.919285190476191,1.977842007523733,13.6308765,5.603445048014973,0.10999328095238095,0.0718975323816666,-0.10830222023809523,0.03893455709509519,-0.019967985714285715,0.004112460784901409,-0.018276925,0.042890491344543626
92,10.37657713095238,5.48891823496558,0.34028515119047614,1.2698583935997578,3.215295714285714,2.1263192621735985,31.57647619047619,6.617287603097073,-0.05274364761904769,2.9815609146598896,-1.8195867857142853,4.998670659267132,12.733217023809525,5.6945790248661226,3.5214796904761902,2.144703642439499,12.735533404761904,5.515725872904101,0.20379111309523812,0.0914702788578805,-0.16114248571428572,0.04445270470331674,-0.01580093142857143,0.005351083654357389,0.026847695952380953,0.05755928514578335
94,10.490613547619049,5.503908159752448,0.31591613892857134,1.345830682097,3.9168878928571425,2.220696911222198,31.052313095238098,6.530214464384836,-0.16114376904761907,3.0486651904869078,-2.489295464285714,4.962530506855968,5.9445657023809515,4.7353151975805545,2.337853009166667,2.4229533051025833,11.70373380952381,5.449934936464034,0.3177373214285714,0.10949218890944117,-0.22599734523809523,0.05326905469584456,-0.007354520360238095,0.005500844600138306,0.08438545583023808,0.06902158242451095
96,10.52729976190476,5.55005877027727,0.299277738095238,1.4213958754261093,4.597601035714285,2.3070876914263714,30.57054404761905,6.514922793387897,-0.2758912738095237,3.0942588595931655,-2.9893034324999994,4.931875846455284,1.2266942107142857,4.070127483773988,1.6723935321428574,2.679508293142671,10.913875571428571,5.304776041355913,0.42721398809523814,0.13765749505550787,-0.2916895357142857,0.067031748688851,0.002650019797619047,0.00371414412176639,0.1381744721785714,0.08502791798594708
98,10.51259030952381,5.621829245520721,0.3432550357142858,1.5108673844687186,5.192609825357144,2.3591856147363908,30.355448809523814,6.6349122592714265,-0.3053886130952381,3.0990000255136088,-3.150470575000001,4.8998846262720015,-0.5896250654761906,4.084979535504151,1.6227769333333335,2.8093780010335387,10.549889523809524,5.091194001947444,0.47893047976190484,0.16019108082263292,-0.3145910916666667,0.0918251329423539,0.00815609511904762,0.005120975990166839,0.17249548321428576,0.09106092547741894
100,10.454247976190477,5.68247689941138,0.4999164916666667,1.6192744821540763,5.641209571428572,2.347544473648597,30.38809285714285,6.805646336499474,-0.1181754761904761,3.0473404060805875,-3.069197404761905,4.869105973427781,0.5096657916666667,4.296977146183533,1.8800856869047617,2.8214330721764367,10.261320333333332,4.906649698780401,0.5300445833333334,0.1669256046038984,-0.30084378452380955,0.0982227070287625,0.007458096595238097,0.009112664436659127,0.2366588954047619,0.0879553593343856
