,Pelvis_X_m,Pelvis_X_sd,Pelvis_Y_m,Pelvis_Y_sd,Pelvis_Z_m,Pelvis_Z_sd,Hip_X_m,Hip_X_sd,Hip_Y_m,Hip_Y_sd,Hip_Z_m,Hip_Z_sd,Knee_X_m,Knee_X_sd,Knee_Y_m,Knee_Y_sd,Knee_Z_m,Knee_Z_sd,Ankle_X_m,Ankle_X_sd,Ankle_Y_m,Ankle_Y_sd,Ankle_Z_m,Ankle_Z_sd,Foot_X_m,Foot_X_sd,Foot_Y_m,Foot_Y_sd,Foot_Z_m,Foot_Z_sd,HipMoment_X_m,HipMoment_X_sd,HipMoment_Y_m,HipMoment_Y_sd,HipMoment_Z_m,HipMoment_Z_sd,KneeMoment_X_m,KneeMoment_X_sd,KneeMoment_Y_m,KneeMoment_Y_sd,KneeMoment_Z_m,KneeMoment_Z_sd,AnkleMoment_X_m,AnkleMoment_X_sd,AnkleMoment_Y_m,AnkleMoment_Y_sd,AnkleMoment_Z_m,AnkleMoment_Z_sd,SupportMoment_X_m,SupportMoment_X_sd,SupportMoment_Y_m,SupportMoment_Y_sd,SupportMoment_Z_m,SupportMoment_Z_sd
0,0.5817332142857142,1.2649179486001443,5.050380357142858,3.079076388373671,10.481388214285715,6.926715495303065,0.9073589285714287,2.9367732166386418,-4.19834642857143,5.766778764813304,31.438908571428577,8.768512146370549,0.9253714285714285,3.171651798447901,-19.13325892857143,7.892414467070504,0.6606539285714289,3.6780106037331874,3.9370557142857145,5.059911503386907,8.135886071428573,4.29644854580912,2.2560892857142862,3.9196181692573733,-5.991075000000002,3.1237988272725303,10.84713035714286,5.8024494575681205,23.71483571428572,3.8903129865434583,-0.07931928571428573,0.0629620400857393,0.003447142857142858,0.017438140748005586,0.4832060714285716,0.14357991746998192,-0.02300285714285715,0.03778862871869739,0.002578928571428572,0.006957158786395556,-0.26282571428571433,0.06821974736262061,0.001693571428571429,0.0023674624751891154,0.004009285714285714,0.004545331441389936,0.005360000000000001,0.007907827913383821,-0.10062857142857144,0.0976903840915576,0.010035357142857146,0.024957623119714636,0.2257403571428572,0.09779304374868322
2,0.9041539285714284,1.253606396376192,5.305434642857143,3.118730589304457,10.349519642857143,6.843799568970179,1.3379782142857142,2.9134584884671977,-3.788179642857142,5.812458900452698,31.169932142857146,8.770687304348309,1.1724064285714288,3.238498841355257,-19.65229107142857,7.883150021306932,3.2910514285714285,3.9431414121871784,3.3430692857142854,4.955940849506494,8.202717500000002,4.092046404148752,1.2124450000000002,3.822526725925083,-6.33799642857143,3.0552031590836526,10.272334642857144,5.48138666439274,19.75909035714286,3.622606388695992,-0.03728821428571428,0.062152448884458006,0.0016025,0.020611155469980144,0.48778250000000006,0.1237602133741821,0.004698571428571429,0.04081067679063765,0.003451428571428572,0.006007523945523977,-0.2026575,0.07687844243074207,-0.008023214285714285,0.00959256234460662,-0.0065400000000000015,0.006397770344785391,-0.022207142857142852,0.016991601173508057,-0.04061285714285715,0.0938037669145682,-0.0014860714285714275,0.024254758785931807,0.26291785714285715,0.07740534544039744
4,1.475556785714286,1.2208509340692335,5.412683214285714,3.0324551682193137,10.216652142857143,6.736545230765462,2.05798,2.904234359433057,-3.0834832142857147,5.702418018868638,30.46671642857143,8.977328184828762,1.432545357142857,3.288639008993669,-20.38839464285714,7.907150062593415,5.305675714285714,4.728843318918915,2.3166421428571433,4.7539436078261605,8.11498107142857,3.929175089226832,-2.258876428571429,3.592069480840573,-6.9194675000000005,2.9893184218671696,9.478312499999998,5.296789727995174,13.44559607142857,2.8000221881649567,0.08117285714285714,0.07649068265819363,0.0016232142857142845,0.023435200808837747,0.40355285714285705,0.10939335907832594,0.06802499999999999,0.06862061405348192,-0.0010339285714285717,0.006676843501861613,-0.1001685714285714,0.07858240161738532,-0.026411071428571426,0.01813119848159853,-0.029405357142857136,0.017222337738249403,-0.08091035714285714,0.034368979107076154,0.1227867857142857,0.14107008649013852,-0.02881607142857143,0.033492187273737754,0.2224739285714286,0.10166304424947853
6,2.2972785714285715,1.168656768209733,5.2447035714285715,2.8969177687842302,10.048065357142859,6.714585642267443,2.956517857142857,2.935250114186127,-2.2039410714285728,5.642797474689844,29.8421925,9.479029189538661,1.9189489285714287,3.3076938538807807,-20.026970000000002,8.126714949017035,7.636066071428571,5.9907240879717145,0.7681332142857142,4.4000673626716775,6.965992857142858,4.170028704536288,-4.7653857142857134,3.149558167093172,-6.208432500000001,3.229406434105399,8.58147642857143,5.12600100077252,7.536917857142856,1.904353994197057,0.18834035714285718,0.09490776979347018,0.00025071428571428494,0.02096052680792957,0.47956535714285714,0.182510619169072,0.16765357142857146,0.09288221323947735,-0.0024392857142857146,0.012945055316330525,-0.0348875,0.10762268858859857,-0.031133928571428573,0.022796067152249973,-0.037292500000000006,0.02046098320349846,-0.09507071428571431,0.04325773998582588,0.32486000000000004,0.18449387905210385,-0.039481071428571435,0.04514404050364241,0.3496071428571429,0.2106640303961435
8,3.218060714285715,1.1797596897589864,4.734255,2.8035095008193958,9.757508928571431,6.755559648813249,4.055015714285715,2.894335160804409,-1.672322500000001,5.873622102031759,29.526566071428572,10.148606783812209,2.7011364285714285,3.481268816143835,-18.047550357142857,7.712306131823564,10.994682857142857,7.097285311253146,-1.3277771428571434,4.167252815748097,5.030736428571429,3.800128134796869,-4.084584642857143,2.783485625119688,-4.2351575,2.8468457654729646,7.815837857142857,4.998879827371218,3.9342542857142866,1.390171644465666,0.3767175000000001,0.047291860811755584,-0.015391785714285719,0.03753795323541756,0.5714485714285715,0.25345985500991747,0.31687892857142863,0.110265243707696,0.005906785714285716,0.011272180972359627,0.13112250000000003,0.16213824058678117,-0.03176392857142857,0.021943659779830874,-0.02455214285714286,0.02094039725894992,-0.053216785714285716,0.041736333995837344,0.6618325,0.1564909960637942,-0.03403714285714286,0.049451297747390814,0.6493542857142859,0.36901206597875924
10,4.151701428571429,1.3291766253723631,4.077401428571428,2.7118268308555034,9.365704642857143,6.8302390405755045,5.335434285714285,2.813795188663454,-1.5589610714285718,6.043937353594725,28.788975357142863,10.4426198365849,3.371086785714286,3.7838092541392765,-16.562553928571425,6.848428479171245,13.778748214285715,7.784058709695785,-3.2125546428571425,4.064125448529659,3.9903496428571423,3.2854206379750766,-1.9231332142857145,2.866464329741974,-2.2236017857142856,2.4736173879762586,7.367149285714286,4.865011118889918,2.280847857142857,1.0766894712045565,0.5602367857142856,0.08803954364172308,-0.04382321428571429,0.054137207900465674,0.6687799999999999,0.28592295718629146,0.44461714285714293,0.14364219659002989,0.010565000000000001,0.015583053295166516,0.25591928571428574,0.21213719068689366,-0.03736714285714286,0.02231182281577723,-0.008157857142857144,0.023908436450685844,0.007589999999999999,0.03967024640709962,0.9674867857142856,0.21768524257079164,-0.04141607142857144,0.0685632002994478,0.9322892857142858,0.4525163065436561
12,4.988344285714287,1.5480698403593494,3.5593239285714295,2.651697353396194,9.016840000000004,6.8072430867094695,6.614127857142857,2.798107345146767,-1.5114132142857144,6.0532679308458,27.238551071428578,10.562565638048797,3.7208685714285727,4.0741213969439185,-16.39012892857143,6.855498496476044,14.983107500000001,8.235804077128192,-4.489283214285715,3.9593947919685566,4.402619642857144,3.275050255318737,0.17531035714285714,3.1458124127746667,-1.0311903571428573,2.1869429512339336,7.187632857142859,4.819756411388649,1.5900364285714288,0.9483261567248747,0.686784285714286,0.1184105822950405,-0.06414357142857144,0.058182126003298786,0.6328328571428573,0.2790875928788328,0.5234475000000002,0.1644148095139243,0.011492142857142859,0.017212104608528997,0.3300339285714286,0.2567493497720669,-0.04369464285714286,0.023756715039710816,0.006266428571428571,0.02715713700134626,0.060816785714285726,0.043368033007626136,1.166537142857143,0.2605758277111725,-0.04638500000000001,0.06960935964365714,1.0236835714285715,0.49229972998175614
14,5.634756428571429,1.722372704465054,3.2773521428571426,2.6024579450490455,8.853917857142857,6.72691297818401,7.694776071428572,2.8351069733509164,-1.5414960714285715,5.976280819653506,25.10490821428571,10.539760036349827,3.7916392857142855,4.211242504440601,-16.950660357142855,7.518919294454047,14.955252500000002,8.59117390379169,-5.051880714285714,3.927076102999463,5.328721071428572,3.515787279763501,1.9167157142857143,3.402910944105206,-0.45717357142857146,2.011369861837782,7.157765357142856,4.79505692524422,1.2277585714285715,0.8778997455300054,0.7546571428571429,0.10540667671004027,-0.06757357142857143,0.06049208646364642,0.5106710714285715,0.25968600084583343,0.5618742857142857,0.16872581481227442,0.013077500000000004,0.016657152165638362,0.35466821428571427,0.28162854333601545,-0.04556142857142858,0.025690699187162554,0.021342500000000004,0.029901759901255102,0.11050035714285712,0.054001059835193765,1.2709700000000002,0.24522916378986598,-0.03315357142857144,0.06567267610097625,0.975839642857143,0.5118345135898767
16,5.9764317857142855,1.7566955895467786,3.250690357142858,2.5842558854089925,8.837308571428572,6.684293029682011,8.346245357142859,3.006836838997386,-1.956592142857143,5.9567756088484645,22.88245892857143,10.464514990637351,3.7060442857142855,4.244441586763282,-17.075257142857147,8.387309279997812,14.323030000000003,8.829726499980055,-5.17910642857143,3.9062822117472757,5.985237142857144,4.337726183369717,3.389640714285715,3.5575102148601165,-0.21461464285714285,1.916967781136963,7.183727142857145,4.78184584716055,1.0006675,0.8281496986302334,0.7779378571428573,0.09341218670935919,-0.05921928571428572,0.06498736341241045,0.40841500000000014,0.2415947197668666,0.5694750000000001,0.16685567295166756,0.01845642857142857,0.01987318200960312,0.3394575,0.2779012241700139,-0.043707857142857146,0.02641700499199811,0.03889571428571429,0.035489384212159025,0.15933642857142863,0.07036635686584485,1.3037050000000003,0.22339714784523249,-0.001867142857142857,0.06609414412308126,0.9072089285714287,0.5094768728848572
18,5.935998928571428,1.723676776071987,3.379548571428571,2.5849165301308967,8.938865,6.683486807789202,8.562074999999998,3.0809249254098257,-2.650119285714286,5.943523131512687,20.802945357142857,10.473694172176064,3.464869642857144,4.146316818394584,-16.50943428571429,8.814234070023383,13.48213,8.86318011657389,-5.093712857142857,3.890926986198253,6.255390714285713,4.851294869286826,4.601625714285714,3.6119343518417986,-0.09143321428571428,1.8228359867774162,7.216076428571427,4.77137671254221,0.8534975000000002,0.7877760145125937,0.7898760714285716,0.1133690151872767,-0.04819821428571427,0.06688791619645805,0.34500285714285706,0.2350038513572644,0.5533539285714285,0.16584787700896,0.026580000000000003,0.022219307092983517,0.3014921428571428,0.26212299268674416,-0.038961785714285706,0.026400159426029614,0.057760714285714276,0.04096561188537109,0.20596964285714287,0.0874510713191247,1.3042682142857143,0.24207772677073983,0.0361425,0.06865599160782579,0.852464642857143,0.5005376955890853
20,5.5622371428571435,1.761112851537034,3.3831792857142853,2.549242238094306,9.115924642857143,6.726879318602653,8.463297142857144,2.9814684058419125,-3.3228110714285712,5.87357088188044,18.818577857142852,10.39222057132655,3.1879128571428574,4.0457359785751414,-15.653466785714285,8.548333872447714,12.564810357142857,8.661130618448873,-4.910635,3.8884251945609227,6.4011242857142845,4.807094246116422,5.618738214285713,3.56975771668514,-0.05151249999999994,1.788924096222417,7.243297142857143,4.77895085391083,0.7221882142857143,0.7214370121303494,0.7710585714285714,0.128631792613176,-0.03203678571428571,0.0629833824117717,0.2808846428571429,0.21505779930113497,0.5178257142857142,0.16216800855733088,0.03617892857142857,0.024797400234281036,0.24327535714285714,0.2340010841482469,-0.03462964285714285,0.025805400334059904,0.07729392857142858,0.04483952060826612,0.2532582142857143,0.09862049996767216,1.254254642857143,0.2627682625612881,0.08143607142857144,0.06700505242656567,0.7774182142857143,0.4578850535073317
22,4.987950357142857,1.8201356069571637,3.250949642857143,2.5992290434010386,9.306445,6.768252473709942,8.194113214285714,2.778488140371145,-3.947208214285714,5.818567686257836,16.822048571428567,10.177828775258241,2.89861,3.996077124260068,-14.404027142857144,8.032959097317729,11.523794285714285,8.382677689102245,-4.707728571428571,3.870712878500562,6.406194285714286,4.51872688802595,6.498293928571429,3.4314304449446436,-0.04558392857142868,1.7721488089791082,7.280024642857141,4.78420627673593,0.5775757142857143,0.6656948657717252,0.7242571428571428,0.138468734887009,-0.013704285714285712,0.054688039856048073,0.20753964285714283,0.19374429364762327,0.46935071428571423,0.15682531732248048,0.046115714285714295,0.025895866826219947,0.17947035714285714,0.20006918025123485,-0.03130142857142857,0.025248173843222452,0.09781821428571429,0.04947853472455516,0.3051464285714286,0.10235389247847147,1.1623064285714284,0.27399345342002795,0.13022964285714286,0.06438245041171145,0.6921564285714287,0.4085620557583566
24,4.332621428571428,1.8941813986160845,2.9062260714285713,2.7739201100138318,9.413588214285713,6.807044209138345,7.943573928571429,2.6134734632610903,-4.511440357142858,5.770580486951586,14.694641428571432,9.839366376856058,2.528587857142857,3.9119282079772546,-13.035271071428571,7.745807017291351,10.388229285714289,7.912757364279111,-4.502530357142858,3.8459653598901364,6.347685714285714,4.276767857042753,7.242971785714286,3.231372119513276,-0.03167142857142853,1.7636210545815072,7.345536071428571,4.783779583145922,0.40725785714285717,0.6280479446045325,0.6654410714285713,0.14538908007320553,0.0015325000000000026,0.04676767788967406,0.1409567857142857,0.17444377855175025,0.4152982142857143,0.1477273575466636,0.054546428571428586,0.025465346017719798,0.12352678571428569,0.16548185084784214,-0.028637142857142858,0.02557776150323721,0.11731499999999999,0.05181304097796823,0.3570953571428571,0.1046125254021548,1.0521021428571429,0.27417506068704944,0.1733939285714286,0.06424138149853768,0.6215789285714287,0.35631988872996256
26,3.6432682142857145,1.9515282109114136,2.37096,2.9629719016405707,9.459257500000001,6.799217872643303,7.705622857142858,2.5623439357922284,-4.979001428571429,5.8716119442784995,12.48348607142857,9.471668601228448,2.0869674999999996,3.798418586284778,-11.828091428571428,7.894906602849525,9.185625714285715,7.3067936551419415,-4.299369285714286,3.812434476263094,6.439361428571428,4.2861321812972175,7.9131882142857135,2.9911133128701852,-0.04794357142857159,1.7195366546179598,7.451823214285715,4.8063955257042705,0.22849428571428576,0.615228154195527,0.6197085714285715,0.14391774741455315,0.016123571428571428,0.04131912610907426,0.08817142857142857,0.15899224687711336,0.3629371428571429,0.13303135776538214,0.06257107142857142,0.025490145469797314,0.06658428571428572,0.13348622142749045,-0.026284642857142857,0.026675026455490143,0.1350964285714286,0.05058789241844988,0.41041000000000005,0.09787042682114883,0.9563610714285715,0.2625741557100406,0.21379107142857143,0.06449990939703151,0.5651657142857143,0.3076456934955755
28,3.0096835714285715,2.0462184425106913,1.7351910714285717,3.1103775166109897,9.481441428571427,6.762069685127256,7.4636989285714295,2.6117024190607183,-5.407729285714284,5.926162419092872,10.2103425,9.098829923701887,1.7004189285714284,3.682110427647845,-10.995450714285711,8.333650923394364,7.910329999999999,6.767310113562618,-4.055502857142858,3.7462620190201257,6.783532857142857,4.53687104397518,8.556451428571428,2.7341979663453473,-0.10879285714285714,1.6438986143554202,7.617134642857141,4.853080630334582,0.023428928571428562,0.6316597775707163,0.5819046428571429,0.1328510690797476,0.030764285714285713,0.03799569251179072,0.044023928571428575,0.1521168547807215,0.32852464285714283,0.12340071408383785,0.0704542857142857,0.02863309911335419,0.010185714285714294,0.11082633878587399,-0.023422499999999995,0.02948164094626714,0.1572389285714286,0.049410094156285174,0.4700435714285715,0.09411202006587213,0.8870067857142857,0.24225591437256805,0.2584575,0.069726826692292,0.5242532142857143,0.2830145105182305
30,2.457319285714285,2.1472584355493662,1.064692857142857,3.1636752142883995,9.503389285714286,6.704391387323586,7.216284999999999,2.675481651667171,-5.720591785714285,5.982738266679464,7.990112857142856,8.857002457499966,1.4319157142857144,3.5824081189735923,-10.22653464285714,8.861399279666983,6.630115000000001,6.301144392792105,-3.7697749999999997,3.663931947524198,7.009071071428572,4.843493234684978,9.168507142857141,2.498396806516988,-0.22261535714285707,1.592155409629765,7.864246428571428,4.936864875413743,-0.21106571428571425,0.687251195485031,0.5541628571428572,0.12103860532768183,0.044817857142857145,0.034989066958028565,0.005730714285714282,0.14553482410190913,0.3061414285714286,0.1135466852550861,0.08040749999999999,0.03143054490276323,-0.04033249999999999,0.093569595483995,-0.01940142857142857,0.034875881705345814,0.1838653571428572,0.04929587946831809,0.5389153571428571,0.09260852474600746,0.8409028571428572,0.21484126577468843,0.30909071428571433,0.07665027886087922,0.5043135714285715,0.2631655130070499
32,1.9732103571428572,2.2169184777415216,0.40275714285714276,3.1172862343284287,9.582857857142857,6.639413902547224,6.928954642857143,2.7279946164595987,-5.902588571428571,6.07229607081888,5.82975857142857,8.60865304312635,1.2866971428571428,3.5106648065144164,-9.426942142857143,8.936662879075877,5.418726071428572,5.810135949848657,-3.4473642857142854,3.6200575273509426,7.049409285714285,4.950993452374699,9.77141892857143,2.311398034086213,-0.3468989285714287,1.585646946511567,8.193029285714285,5.01449566840201,-0.45793357142857144,0.7461722999323037,0.5432875,0.11030112600983936,0.059976071428571434,0.03307884719055433,-0.0341657142857143,0.13954734335669772,0.29564642857142864,0.10740969447416265,0.09171428571428572,0.035316514815045365,-0.08848571428571428,0.08241246432654242,-0.014922857142857142,0.040812405528894584,0.21318749999999995,0.051971375063216654,0.6154803571428571,0.09064002165082835,0.8240110714285714,0.1924558735156888,0.3648778571428571,0.08621799978753066,0.49282892857142857,0.24192963002762224
34,1.5863767857142856,2.3061693727558152,-0.21256392857142842,2.9982296496228584,9.74162392857143,6.603802161694771,6.669260714285714,2.7604955095597337,-6.130510714285713,6.052449049126204,3.8787721428571422,8.417194341032097,1.2113885714285717,3.454070058975258,-8.605546428571428,8.57774921953405,4.412280714285713,5.257926414674346,-3.128606428571428,3.5952147171196818,6.988754999999999,4.81369395554615,10.400883214285715,2.1658270559451123,-0.4629485714285714,1.604070229077638,8.500516428571428,5.0543038230937505,-0.7504885714285716,0.8534236213277143,0.556445,0.09669360994319197,0.0772057142857143,0.03332181053218533,-0.0764342857142857,0.13549318701091073,0.3001471428571429,0.1094476913470942,0.10463642857142859,0.0399595268523507,-0.1370867857142857,0.07670741661582423,-0.011013928571428574,0.0446170242249168,0.24774999999999997,0.05626779776554807,0.7033528571428572,0.09051125475521059,0.8455782142857141,0.18126833284056187,0.42959214285714287,0.09654292775186124,0.4898317857142858,0.21762670372776427
36,1.3050850000000003,2.3813977486261173,-0.8155667857142855,2.8908386298732967,9.93944392857143,6.6057171599316975,6.4260835714285705,2.789673477253227,-6.396753214285714,5.912545102880045,2.0650053571428573,8.229826264946878,1.2069303571428571,3.4055915730459785,-7.777206071428572,8.163792637921276,3.6890896428571436,4.659993741024381,-2.7610449999999997,3.5956011648615656,6.841343928571429,4.483182021484113,11.082979642857143,2.0877894455062207,-0.5953964285714288,1.6667327257073812,8.826403928571429,5.062542276036274,-1.1470185714285712,0.976049455265831,0.5847571428571428,0.08860149765868881,0.09134821428571428,0.03521361628072207,-0.11734642857142856,0.13334649414832153,0.3166839285714285,0.1148357125867306,0.12024285714285714,0.04481687176783923,-0.18155464285714285,0.07501648845585386,-0.004074285714285714,0.04901621779720318,0.28805892857142856,0.06181196816458056,0.8080792857142857,0.09636973173981754,0.8973667857142857,0.17944362632664956,0.4996499999999999,0.1106577868579871,0.5091782142857143,0.20162066836023396
38,1.1164910714285716,2.440016338289545,-1.3955782142857145,2.8260791384004684,10.168376428571426,6.664853161787305,6.254240357142858,2.8258983016933437,-6.724078928571427,5.761691790061512,0.3870392857142856,8.041198529695219,1.2236196428571429,3.374992930954115,-7.01068642857143,7.884365992041181,3.1055828571428563,4.2263788353364244,-2.300646428571429,3.608413883804409,6.809564999999998,4.373524151298179,11.783318928571429,2.068271799073563,-0.8122149999999999,1.7621984187001278,9.172013928571427,5.069344217412747,-1.6665982142857139,1.1281920463453687,0.6203296428571428,0.08532573384174243,0.10399535714285713,0.03689172230816335,-0.1600917857142857,0.1352349744619334,0.3393875,0.12201130645511755,0.1356932142857143,0.04863650831213836,-0.2183764285714286,0.07567036968194485,0.006636071428571424,0.05491629799342084,0.3330282142857143,0.06889101056705839,0.9185603571428574,0.11111645748881058,0.9663532142857143,0.19148690717048975,0.5727167857142856,0.12362364591476113,0.5400921428571429,0.20077632449027494
40,1.0484253571428572,2.506489061293985,-2.007259642857143,2.6869446182581433,10.334392499999998,6.7162617733699,6.1564121428571426,2.8964258659899826,-7.0491053571428575,5.6753488774742245,-1.2528571428571433,7.929093766030194,1.2504835714285714,3.3331248445279313,-6.513991428571429,7.887230274949411,2.792125714285715,4.051032656789669,-1.7026625000000002,3.619534615469205,6.944144642857142,4.331263602525189,12.414765714285716,2.0990516084182635,-1.1283142857142854,1.8643503044821077,9.559309642857142,5.044252361213268,-2.3709467857142856,1.3460648790164484,0.6623982142857143,0.0881476753392838,0.11449750000000002,0.03839806298950709,-0.21682535714285714,0.14384891668884736,0.36760035714285727,0.1318594914973494,0.14994464285714285,0.05157716069765636,-0.2457578571428571,0.08505110594212177,0.022054285714285717,0.06189957837737429,0.3834910714285715,0.07558223140747412,1.0310489285714286,0.13080722438262654,1.0520528571428571,0.20948511540399278,0.6479332142857144,0.13094359294407798,0.5684657142857141,0.2089747439272281
42,1.0423760714285715,2.5388396390827075,-2.6353975000000003,2.5693337972732495,10.459673928571428,6.769986123237731,6.12299,2.9391617362791886,-7.3801878571428565,5.679041962351137,-2.9229517857142855,7.845665142304724,1.2129089285714285,3.293754933737469,-6.188357142857143,7.881021208984062,2.7258178571428577,4.09644430553532,-0.9597217857142858,3.668466065266772,7.125729642857142,4.312123013381292,12.962357142857142,2.261015127634312,-1.661549642857143,2.012816591285861,10.01043107142857,5.058766998457756,-3.315095357142858,1.631651902224416,0.7127689285714286,0.0943486260178496,0.12245964285714286,0.04045053315538554,-0.2848175,0.15742571852427611,0.39715571428571433,0.13957859606766282,0.16350785714285715,0.05308941397137638,-0.26010249999999996,0.1001890214074223,0.04284071428571428,0.07051050799641205,0.43850428571428585,0.07762131360891564,1.1469299999999998,0.14196747124714074,1.1527653571428569,0.22552737908549,0.7244717857142858,0.13113917270487785,0.6020099999999999,0.22571248579178707
44,1.1135889285714287,2.529410623600181,-3.310549642857143,2.5042844712216272,10.530457857142858,6.834992496494027,6.115308571428572,2.9242377920411413,-7.663631071428573,5.677810811954788,-4.545034642857145,7.781191925095475,1.0724210714285716,3.232735687251219,-5.794059642857143,7.846823688439522,2.9760678571428585,4.3394592717516325,0.059298214285714294,3.742962268205495,7.4803403571428575,4.271571554758841,13.291434642857142,2.375706053688577,-2.4015999999999997,2.174161703915575,10.3303425,5.0400375117872,-4.593188928571428,1.9486487408874447,0.7596857142857143,0.09718472408565246,0.12714285714285714,0.041503166501730075,-0.37302714285714295,0.17055065100020408,0.4200164285714285,0.14443330869069174,0.17356571428571427,0.05345365627046777,-0.25440035714285714,0.11631610334747103,0.06883285714285714,0.08059767535095552,0.49372999999999995,0.08237428629316129,1.2543950000000001,0.1562870945260184,1.248535,0.23330533915219995,0.7944385714285714,0.13173334694678562,0.6269674999999999,0.23992639973822424
46,1.2321742857142859,2.4816107968614762,-3.9347782142857146,2.4713208608202644,10.565964999999997,6.883600597775567,6.012091071428571,2.9578552741101873,-7.979420714285713,5.633793711996063,-5.985281428571429,7.74403613592382,0.8465182142857144,3.2001683087976955,-5.438952500000001,7.845225775792109,3.7061075000000008,4.666971737843482,1.296260714285714,3.8190346796816326,8.0159,4.231584540372008,13.364617500000003,2.4319633657561144,-3.300020357142857,2.371585816198539,10.289399285714286,4.984137721434509,-6.265802142857143,2.3362165510752915,0.7926610714285713,0.10832210437782613,0.12430107142857143,0.041815978781514176,-0.4572603571428571,0.18212577656731418,0.434815,0.1495628822216981,0.17805714285714286,0.05328752522922174,-0.22193714285714283,0.13132042669795077,0.09984392857142856,0.0865503839519229,0.543592142857143,0.08455853299784274,1.328557857142857,0.1563879602477107,1.32732,0.23778194670909986,0.8459503571428572,0.1269429731818475,0.6493603571428571,0.2533114715391393
48,1.2763914285714282,2.438743569308581,-4.465770714285715,2.4385348331046734,10.63442892857143,6.920919483808097,5.739124642857143,3.010014528971749,-8.332178571428571,5.50951293447993,-7.163678571428572,7.747273121050754,0.5043924999999999,3.217893486449427,-5.0179157142857145,7.885647731592664,4.922365357142857,4.969764957828436,2.723290714285714,3.9223955109884736,8.723338928571428,4.2417612059978556,13.094323571428571,2.4994569766731547,-4.499518214285714,2.635942075525449,9.9032775,5.02469611516984,-8.453458571428571,2.8489279541882944,0.7909503571428572,0.11886612486426597,0.11282535714285714,0.042271916685279985,-0.5152424999999999,0.18129812475959634,0.4389303571428571,0.1526437522275098,0.17556999999999998,0.052605596770100994,-0.16998964285714285,0.1415105006088062,0.13594285714285712,0.09068141480595011,0.580985,0.08441129221760647,1.3585210714285714,0.1516181324169701,1.3658235714285714,0.2376094563437155,0.8693803571428572,0.11746797376084267,0.6732889285714286,0.2609279372088612
